date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020/2/20,,VD,,7,,,,,,
2020/2/20,,VS,,4,,,,,,
2020/2/20,,SG,,1,,,,,,
2020/2/20,,BE,,2,,,,,,
2020/2/20,,GR,,1,,,,,,
2020/2/20,,TI,,1,,,,,,
2020/2/20,,JU,,1,,,,,,
2020/2/20,,ZH,,5,,,,,,
2020/2/20,,SZ,,2,,,,,,
2020/2/21,,VD,,7,,,,,,
2020/2/21,,VS,,4,,,,,,
2020/2/21,,SG,,1,,,,,,
2020/2/21,,BE,,2,,,,,,
2020/2/21,,GR,,1,,,,,,
2020/2/21,,TI,,1,,,,,,
2020/2/21,,JU,,1,,,,,,
2020/2/21,,ZH,,5,,,,,,
2020/2/21,,SZ,,2,,,,,,
2020/2/22,,VD,,7,,,,,,
2020/2/22,,VS,,4,,,,,,
2020/2/22,,SG,,1,,,,,,
2020/2/22,,BE,,2,,,,,,
2020/2/22,,GR,,3,,,,,,
2020/2/22,,TI,,1,,,,,,
2020/2/22,,JU,,1,,,,,,
2020/2/22,,ZH,,5,,,,,,
2020/2/22,,SZ,,2,,,,,,
2020/2/23,,VD,,7,,,,,,
2020/2/23,,VS,,4,,,,,,
2020/2/23,,SG,,1,,,,,,
2020/2/23,,BE,,2,,,,,,
2020/2/23,,GR,,3,,,,,,
2020/2/23,,TI,,1,,,,,,
2020/2/23,,JU,,1,,,,,,
2020/2/23,,ZH,,5,,,,,,
2020/2/23,,SZ,,2,,,,,,
2020/2/24,,BE,,2,,,,,,
2020/2/24,,VD,,7,,,,,,
2020/2/24,,VS,,4,,,,,,
2020/2/24,,SG,,1,,,,,,
2020/2/24,,SO,,0,,,,,,
2020/2/24,,NE,,0,,,,,,
2020/2/24,,BL,,0,,,,,,
2020/2/24,,GR,,5,,,,,,
2020/2/24,,TI,,1,,,,,,
2020/2/24,,TG,,0,,,,,,
2020/2/24,,JU,,1,,,,,,
2020/2/24,,AG,,0,,,,,,
2020/2/24,,ZH,,5,,,,,,
2020/2/24,,SZ,,2,,,,,,
2020/2/25,,TI,,5,,,,,,https://www.srf.ch/news/schweiz/tessiner-patient-erster-coronavirus-fall-in-der-schweiz
2020/2/25,,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/2/25,,ZH,,5,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
2020/2/25,,SZ,,2,,,,,,https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf
2020/2/25,,JU,,1,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html
2020/2/25,,GR,,7,,,,,,
2020/2/25,,BE,,2,,,,,,
2020/2/26,,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
